ID|Code|IDPlayer|RealName|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro|Country
1926|ME20|Ma/S/Sinisa-Markovic|Sinisa Markovic|6|2|1987|-1|-1|-1|-1|Bosnia and Herzegovina
1927|D749|Da/D/Daniel-Danilovic|Daniel Danilovic|25|7|1988|-1|-1|1|-1|Sweden
1928|ME22|Ma/L/Lubomir-Majsajdr|Lubomir Majsajdr|1|4|1988|-1|-1|-1|-1|Czech Republic
1929|F360|Fr/J/Jonas-Froberg|Jonas Froberg|11|4|1981|-1|-1|-1|-1|Sweden
1930|F367|Fu/H/Hayato-Furukawa|Hayato Furukawa|15|5|1981|-1|65|1|-1|Japan
1931|DE18|Du/A/Artur-Dubinski|Artur Dubinski|27|3|1996|-1|-1|-1|-1|Belarus
1932|F364|Top-Players/Mariusz-Fyrstenberg|Mariusz Fyrstenberg|8|7|1980|190|80|0|2001|Poland
1933|AC76|An/J/Jay-Andrijic|Jay Andrijic|3|10|1995|-1|-1|1|-1|Australia
1934|BJ40|Ba/S/Sam-Barnett|Sam Barnett|7|9|1989|-1|-1|-1|-1|United States
1935|SI43|Sl/T/Tiago-Slonik|Tiago Slonik|2|7|1990|-1|-1|-1|-1|Brazil
1936|T965|Th/S/Sean-Thornley|Sean Thornley|31|5|1989|-1|-1|1|-1|Great Britain
1937|T964|Ta/P/Patrick-Taubert|Patrick Taubert|28|7|1987|-1|-1|-1|-1|Germany
1938|L719|Li/T/Tushar-Liberhan|Tushar Liberhan|8|10|1986|-1|-1|-1|-1|India
1939|D626|De/K/Kevin-Deden|Kevin Deden|25|2|1984|-1|-1|-1|-1|Germany
1940|S636|Sc/R/Rainer-Schuettler|Rainer Schüttler|25|4|1976|180|75|1|1995|Germany
1941|S637|St/J/Jurek-Stasiak|Jurek Stasiak|23|4|1978|-1|-1|1|-1|Australia
1942|S634|Sa/H/Hiroyasu-Sato|Hiroyasu Sato|2|10|1972|-1|-1|1|-1|Japan
1943|H021|Hi/G/Gregg-Hill|Gregg Hill|4|1|1963|-1|-1|1|-1|United States
1944|S631|Sp/T/Tom-Spinks|Tom Spinks|7|11|1976|-1|-1|1|-1|Great Britain
1945|CE25|Ca/S/Salvatore-Caruso|Salvatore Caruso|15|12|1992|-1|-1|-1|-1|Italy
1946|F569|Fa/A/Anas-Fattar|Anas Fattar|12|5|1987|-1|-1|-1|-1|Morocco
1947|KA74|Ka/V/Vladimir-Karusevich|Vladimir Karusevich|1|1|1990|180|76|1|-1|Russian Federation
1948|KA78|Ku/G/Georgy-Kurochkin|Georgy Kurochkin|30|9|1989|-1|-1|-1|-1|Russian Federation
1949|N607|Ni/M/Miliaan-Niesten|Miliaan Niesten|27|6|1988|183|65|0|-1|Netherlands
1950|F560|Fu/H/Hiroshi-Fukaumi|Hiroshi Fukaumi|14|7|1973|-1|-1|-1|-1|Japan
1951|D862|De/D/Dorian-Descloix|Dorian Descloix|14|3|1988|193|86|1|-1|France
1952|MF35|Ma/A/Andrej-Martin|Andrej Martin|20|9|1989|180|72|1|-1|Slovakia
1953|MF36|Me/M/Miloslav-Mecir|Miloslav Mecir|20|1|1988|190|86|1|-1|Slovakia
1954|MF31|Mo/T/Thomas-Morton|Thomas Morton|1|11|1982|-1|-1|-1|-1|United States
